Second,Status
1,Motion Detected
2,Motion Detected
3,Motion Detected
4,Motion Detected
5,Motion Detected
6,Motion Detected
7,No motion
8,No motion
9,No motion
10,No motion
11,No motion
12,No motion
13,No motion
14,Motion Detected
15,Motion Detected
16,Motion Detected
17,Motion Detected
18,Motion Detected
19,Motion Detected
20,No motion
21,No motion
22,No motion
23,Motion Detected
24,Motion Detected
25,Motion Detected
26,Motion Detected
27,Motion Detected
28,Motion Detected
29,Motion Detected
30,Motion Detected
31,Motion Detected
32,No motion
33,No motion
34,No motion
35,No motion
36,No motion
37,No motion
38,No motion
39,No motion
40,No motion
41,No motion
42,No motion
43,No motion
44,No motion
45,No motion
