Second,Status
1,No motion
2,No motion
3,Motion Detected
4,Motion Detected
5,No motion
6,No motion
7,Motion Detected
8,Motion Detected
9,Motion Detected
10,Motion Detected
11,Motion Detected
12,Motion Detected
13,Motion Detected
14,Motion Detected
15,Motion Detected
16,Motion Detected
17,Motion Detected
18,Motion Detected
19,Motion Detected
20,Motion Detected
21,Motion Detected
22,Motion Detected
23,Motion Detected
24,Motion Detected
25,Motion Detected
26,Motion Detected
27,Motion Detected
28,Motion Detected
29,Motion Detected
30,Motion Detected
31,Motion Detected
32,Motion Detected
33,Motion Detected
34,Motion Detected
35,Motion Detected
36,Motion Detected
37,Motion Detected
38,Motion Detected
39,Motion Detected
40,Motion Detected
41,Motion Detected
