Second,Status
1,Motion Detected
2,No motion
3,Motion Detected
4,Motion Detected
5,Motion Detected
6,No motion
7,No motion
8,Motion Detected
9,Motion Detected
10,Motion Detected
11,Motion Detected
12,Motion Detected
13,No motion
14,No motion
15,Motion Detected
16,Motion Detected
17,Motion Detected
18,Motion Detected
19,Motion Detected
20,Motion Detected
21,Motion Detected
22,Motion Detected
23,Motion Detected
24,Motion Detected
25,Motion Detected
26,Motion Detected
27,Motion Detected
28,Motion Detected
29,Motion Detected
30,Motion Detected
31,Motion Detected
32,No motion
33,No motion
34,Motion Detected
35,Motion Detected
36,Motion Detected
37,Motion Detected
38,No motion
39,No motion
40,No motion
41,No motion
