Second,Cam1,Cam2
1,No motion,Motion
2,No motion,No motion
3,No motion,No motion
4,No motion,Motion
5,No motion,No motion
6,No motion,Motion
7,No motion,Motion
8,No motion,Motion
9,Motion,Motion
10,Motion,Motion
11,No motion,Motion
12,No motion,Motion
13,No motion,Motion
14,No motion,Motion
15,No motion,Motion
16,No motion,Motion
17,No motion,Motion
18,No motion,Motion
19,No motion,No motion
20,No motion,No motion
21,No motion,No motion
22,No motion,No motion
23,No motion,No motion
24,No motion,Motion
25,No motion,No motion
26,No motion,Motion
27,No motion,Motion
28,No motion,Motion
29,No motion,Motion
30,No motion,No motion
31,No motion,No motion
32,No motion,Motion
33,No motion,No motion
34,No motion,No motion
35,No motion,No motion
36,No motion,No motion
37,No motion,No motion
38,No motion,No motion
39,No motion,Motion
40,No motion,Motion
41,No motion,Motion
42,No motion,Motion
43,No motion,No motion
44,No motion,No motion
45,No motion,No motion
46,No motion,No motion
47,No motion,No motion
48,No motion,No motion
49,No motion,No motion
50,No motion,No motion
51,No motion,No motion
52,No motion,No motion
53,No motion,No motion
54,No motion,No motion
55,No motion,Motion
56,No motion,Motion
57,No motion,No motion
58,No motion,No motion
59,No motion,No motion
60,No motion,No motion
61,No motion,No motion
62,No motion,Motion
63,No motion,Motion
64,No motion,No motion
65,No motion,No motion
66,No motion,No motion
67,No motion,No motion
68,No motion,No motion
69,No motion,No motion
70,No motion,No motion
71,No motion,No motion
72,No motion,No motion
73,No motion,No motion
74,No motion,No motion
75,No motion,No motion
76,No motion,Motion
77,No motion,No motion
78,No motion,No motion
79,No motion,Motion
80,No motion,No motion
81,No motion,No motion
82,No motion,No motion
83,No motion,No motion
84,No motion,No motion
85,No motion,No motion
86,No motion,No motion
87,No motion,No motion
88,No motion,No motion
89,No motion,No motion
90,No motion,No motion
91,No motion,No motion
92,No motion,No motion
93,No motion,No motion
