Second,Status
1,No motion
2,No motion
3,No motion
4,No motion
5,No motion
6,No motion
7,No motion
8,No motion
9,No motion
10,No motion
11,No motion
12,No motion
13,No motion
14,Motion Detected
15,Motion Detected
16,Motion Detected
17,No motion
18,No motion
19,No motion
20,Motion Detected
21,Motion Detected
22,Motion Detected
23,Motion Detected
24,Motion Detected
25,Motion Detected
26,Motion Detected
27,Motion Detected
28,Motion Detected
29,Motion Detected
30,Motion Detected
31,No motion
32,Motion Detected
33,Motion Detected
34,No motion
35,No motion
36,No motion
37,No motion
38,No motion
39,No motion
40,No motion
41,Motion Detected
42,No motion
43,No motion
44,No motion
45,No motion
